fare_id,price,currency_type,payment_method,transfers,agency_id
1,1.30,EUR,0,0,71
2,0.80,EUR,0,0,71
3,1.80,EUR,0,0,71
4,1.90,EUR,0,0,71
5,0.70,EUR,0,0,71
6,2.30,EUR,0,0,71
7,1.60,EUR,0,0,71
8,2.10,EUR,0,0,71
9,2.00,EUR,0,0,71
10,1.10,EUR,0,0,71
11,1.20,EUR,0,0,71
12,1.00,EUR,0,0,71
13,1.40,EUR,0,0,71
14,0.90,EUR,0,0,71
15,2.40,EUR,0,0,71
16,0.50,EUR,0,0,71
17,1.70,EUR,0,0,71
18,0.60,EUR,0,0,71
19,1.50,EUR,0,0,71
20,2.20,EUR,0,0,71
21,1.35,EUR,0,0,60
22,0.60,EUR,0,0,60
23,0.65,EUR,0,0,60
24,1.00,EUR,0,0,60
25,1.05,EUR,0,0,60
26,0.90,EUR,0,0,60
27,2.00,EUR,0,0,60
28,1.25,EUR,0,0,60
29,1.15,EUR,0,0,60
30,1.65,EUR,0,0,60
31,1.20,EUR,0,0,60
32,1.40,EUR,0,0,60
33,1.10,EUR,0,0,60
34,1.80,EUR,0,0,60
35,1.45,EUR,0,0,60
36,2.05,EUR,0,0,60
37,1.30,EUR,0,0,60
38,0.80,EUR,0,0,60
39,1.90,EUR,0,0,60
40,2.25,EUR,0,0,60
41,0.95,EUR,0,0,60
42,0.75,EUR,0,0,60
43,2.30,EUR,0,0,60
44,1.60,EUR,0,0,60
45,0.85,EUR,0,0,60
46,0.70,EUR,0,0,60
47,2.40,EUR,0,0,60
48,1.55,EUR,0,0,60
49,1.75,EUR,0,0,60
50,1.50,EUR,0,0,60
51,2.15,EUR,0,0,60
52,2.35,EUR,0,0,60
53,1.95,EUR,0,0,60
54,1.70,EUR,0,0,60
55,1.85,EUR,0,0,60
56,2.10,EUR,0,0,60
57,2.45,EUR,0,0,60
58,2.55,EUR,0,0,60
59,2.20,EUR,0,0,60
60,0.80,EUR,0,0,100046
61,1.05,EUR,0,0,100046
62,1.30,EUR,0,0,100046
63,0.90,EUR,0,0,100046
64,1.55,EUR,0,0,100046
65,1.00,EUR,0,0,100046
66,1.15,EUR,0,0,100046
67,1.35,EUR,0,0,100046
68,1.25,EUR,0,0,100046
69,1.40,EUR,0,0,100046
70,1.20,EUR,0,0,100046
71,0.85,EUR,0,0,100046
72,1.45,EUR,0,0,100046
73,1.05,EUR,0,0,71
74,1.35,EUR,0,0,71
75,0.75,EUR,0,0,71
76,0.85,EUR,0,0,71
77,0.95,EUR,0,0,71
78,1.15,EUR,0,0,71
79,1.25,EUR,0,0,71
80,1.45,EUR,0,0,71
81,0.70,EUR,0,0,100047
82,0.65,EUR,0,0,100047
83,0.80,EUR,0,0,100047
84,1.15,EUR,0,0,100047
85,1.65,EUR,0,0,100047
86,1.90,EUR,0,0,100047
87,1.40,EUR,0,0,100047
88,0.90,EUR,0,0,100047
89,2.00,EUR,0,0,100047
90,0.75,EUR,0,0,100047
91,1.50,EUR,0,0,100047
92,1.75,EUR,0,0,100047
93,1.60,EUR,0,0,100047
94,0.95,EUR,0,0,100047
95,1.05,EUR,0,0,100047
96,1.00,EUR,0,0,100047
97,1.20,EUR,0,0,100047
98,1.70,EUR,0,0,100047
99,2.20,EUR,0,0,100047
100,1.95,EUR,0,0,100047
101,1.30,EUR,0,0,100047
102,0.85,EUR,0,0,100047
103,1.25,EUR,0,0,100047
104,1.10,EUR,0,0,100047
105,1.35,EUR,0,0,100047
106,0.90,EUR,0,0,99
107,0.50,EUR,0,0,317
108,1.30,EUR,0,0,317
109,0.70,EUR,0,0,317
110,1.50,EUR,0,0,317
111,0.90,EUR,0,0,317
112,0.80,EUR,0,0,317
113,1.00,EUR,0,0,317
114,2.30,EUR,0,0,317
115,1.10,EUR,0,0,317
116,1.20,EUR,0,0,317
117,1.70,EUR,0,0,317
118,1.40,EUR,0,0,317
119,1.90,EUR,0,0,317
120,0.60,EUR,0,0,317
121,1.80,EUR,0,0,317
122,2.10,EUR,0,0,317
123,2.20,EUR,0,0,317
124,1.60,EUR,0,0,317
125,2.00,EUR,0,0,317
126,0.60,EUR,0,0,219
127,0.95,EUR,0,0,219
128,1.10,EUR,0,0,219
129,1.05,EUR,0,0,219
130,0.85,EUR,0,0,219
131,1.60,EUR,0,0,219
132,2.10,EUR,0,0,219
133,2.70,EUR,0,0,219
134,1.65,EUR,0,0,219
135,1.20,EUR,0,0,219
136,1.75,EUR,0,0,219
137,2.80,EUR,0,0,219
138,1.00,EUR,0,0,219
139,0.70,EUR,0,0,219
140,1.40,EUR,0,0,219
141,0.90,EUR,0,0,219
142,0.75,EUR,0,0,219
143,1.30,EUR,0,0,219
144,1.45,EUR,0,0,219
145,1.25,EUR,0,0,219
146,2.25,EUR,0,0,219
147,2.30,EUR,0,0,219
148,0.65,EUR,0,0,219
149,2.05,EUR,0,0,219
150,1.55,EUR,0,0,219
151,0.80,EUR,0,0,219
152,1.50,EUR,0,0,219
153,2.40,EUR,0,0,219
154,1.35,EUR,0,0,219
155,2.50,EUR,0,0,219
156,1.15,EUR,0,0,219
157,2.60,EUR,0,0,219
158,1.95,EUR,0,0,219
159,2.55,EUR,0,0,219
160,1.80,EUR,0,0,219
161,2.85,EUR,0,0,219
162,1.60,EUR,0,0,100046
163,2.30,EUR,0,0,100046
164,3.00,EUR,0,0,100046
165,2.65,EUR,0,0,60
166,1.50,EUR,0,0,273
167,2.50,EUR,0,0,60
168,0.65,EUR,0,0,71
169,0.40,EUR,0,0,25
170,0.85,EUR,0,0,25
171,0.35,EUR,0,0,25
172,2.05,EUR,0,0,25
173,1.00,EUR,0,0,25
174,0.75,EUR,0,0,25
175,0.80,EUR,0,0,25
176,0.55,EUR,0,0,25
