service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7507,0,0,0,0,0,1,0,20170901,20181127
7508,0,0,0,0,0,1,0,20170901,20181127
7509,0,0,0,0,0,1,0,20170901,20181127
7510,0,0,0,0,0,1,0,20170901,20181127
7511,0,0,0,0,0,1,0,20170901,20181127
7536,0,0,0,0,0,1,0,20170901,20181127
7537,0,0,0,0,0,1,0,20170901,20181127
7538,0,0,0,0,0,1,0,20170901,20181127
7539,0,0,0,0,0,1,0,20170901,20181127
7840,1,1,1,1,1,0,0,20170901,20181127
7841,1,1,1,1,1,0,0,20170901,20181127
7842,1,1,1,1,1,0,0,20170901,20181127
7843,1,1,1,1,1,0,0,20170901,20181127
7844,1,1,1,1,1,0,0,20170901,20181127
7870,0,0,0,0,0,0,1,20150826,20181127
8071,0,0,0,0,0,1,0,20170901,20181127
8072,0,0,0,0,0,1,0,20170901,20181127
8073,0,0,0,0,0,1,0,20170901,20181127
8074,0,0,0,0,0,0,1,20170901,20181127
8075,0,0,0,0,0,0,1,20170901,20181127
8076,0,0,0,0,0,0,1,20170901,20181127
8181,0,0,0,0,0,1,0,20170901,20181127
8182,0,0,0,0,0,1,0,20170901,20181127
8183,0,0,0,0,0,1,0,20170901,20181127
8184,0,0,0,0,0,1,0,20170901,20181127
20219,0,0,0,0,0,1,1,20161001,20181231
20223,0,1,0,0,0,0,0,20000415,20181231
20228,0,1,0,1,0,1,0,20030101,20181231
20230,0,1,0,0,0,0,0,20090201,20181231
20251,1,1,1,1,1,0,0,20040223,20181231
20285,0,0,1,0,1,0,0,20010101,20200131
20541,0,0,0,0,1,0,0,20170901,20180531
20543,0,0,1,0,0,0,0,20170901,20180531
20544,0,0,0,0,0,0,1,20090401,20211231
20561,0,0,0,0,0,1,0,20060101,20211231
20570,0,1,0,1,0,0,0,20090401,20211231
20582,1,1,1,1,1,0,0,20060320,20211231
20586,1,1,1,1,1,0,0,20060213,20211231
20593,1,1,1,1,1,0,0,20101001,20211231
20594,0,0,0,0,0,1,0,20101001,20211231
20601,1,1,1,1,1,1,0,20130527,20211231
20602,1,1,1,1,1,0,0,20110110,20211231
20603,1,1,1,1,1,1,0,20140101,20211231
