service_id,date,exception_type
7507,20171224,2
7507,20171225,2
7507,20171226,2
7507,20180101,2
7507,20180224,2
7507,20180330,2
7507,20180401,2
7507,20180501,2
7507,20180520,2
7507,20180623,2
7507,20180624,2
7507,20180820,2
7508,20171224,2
7508,20171225,2
7508,20171226,2
7508,20180101,2
7508,20180224,2
7508,20180330,2
7508,20180401,2
7508,20180501,2
7508,20180520,2
7508,20180623,2
7508,20180624,2
7508,20180820,2
7509,20171224,2
7509,20171225,2
7509,20171226,2
7509,20180101,2
7509,20180224,2
7509,20180330,2
7509,20180401,2
7509,20180501,2
7509,20180520,2
7509,20180623,2
7509,20180624,2
7509,20180820,2
7510,20171224,2
7510,20171225,2
7510,20171226,2
7510,20180101,2
7510,20180224,2
7510,20180330,2
7510,20180401,2
7510,20180501,2
7510,20180520,2
7510,20180623,2
7510,20180624,2
7510,20180820,2
7511,20171224,2
7511,20171225,2
7511,20171226,2
7511,20180101,2
7511,20180224,2
7511,20180330,2
7511,20180401,2
7511,20180501,2
7511,20180520,2
7511,20180623,2
7511,20180624,2
7511,20180820,2
7536,20171224,2
7536,20171225,2
7536,20171226,2
7536,20180101,2
7536,20180224,2
7536,20180330,2
7536,20180401,2
7536,20180501,2
7536,20180520,2
7536,20180623,2
7536,20180624,2
7536,20180820,2
7537,20171224,2
7537,20171225,2
7537,20171226,2
7537,20180101,2
7537,20180224,2
7537,20180330,2
7537,20180401,2
7537,20180501,2
7537,20180520,2
7537,20180623,2
7537,20180624,2
7537,20180820,2
7538,20171224,2
7538,20171225,2
7538,20171226,2
7538,20180101,2
7538,20180224,2
7538,20180330,2
7538,20180401,2
7538,20180501,2
7538,20180520,2
7538,20180623,2
7538,20180624,2
7538,20180820,2
7539,20171224,2
7539,20171225,2
7539,20171226,2
7539,20180101,2
7539,20180224,2
7539,20180330,2
7539,20180401,2
7539,20180501,2
7539,20180520,2
7539,20180623,2
7539,20180624,2
7539,20180820,2
7840,20171224,2
7840,20171225,2
7840,20171226,2
7840,20180101,2
7840,20180224,2
7840,20180330,2
7840,20180401,2
7840,20180501,2
7840,20180520,2
7840,20180623,2
7840,20180624,2
7840,20180820,2
7841,20171224,2
7841,20171225,2
7841,20171226,2
7841,20180101,2
7841,20180224,2
7841,20180330,2
7841,20180401,2
7841,20180501,2
7841,20180520,2
7841,20180623,2
7841,20180624,2
7841,20180820,2
7842,20171224,2
7842,20171225,2
7842,20171226,2
7842,20180101,2
7842,20180224,2
7842,20180330,2
7842,20180401,2
7842,20180501,2
7842,20180520,2
7842,20180623,2
7842,20180624,2
7842,20180820,2
7843,20171224,2
7843,20171225,2
7843,20171226,2
7843,20180101,2
7843,20180224,2
7843,20180330,2
7843,20180401,2
7843,20180501,2
7843,20180520,2
7843,20180623,2
7843,20180624,2
7843,20180820,2
7844,20171224,2
7844,20171225,2
7844,20171226,2
7844,20180101,2
7844,20180224,2
7844,20180330,2
7844,20180401,2
7844,20180501,2
7844,20180520,2
7844,20180623,2
7844,20180624,2
7844,20180820,2
7870,20171225,1
7870,20171226,1
7870,20180101,1
7870,20180224,1
7870,20180330,1
7870,20180501,1
7870,20180623,1
7870,20180820,1
8071,20171224,2
8071,20171225,2
8071,20171226,2
8071,20180101,2
8071,20180224,2
8071,20180330,2
8071,20180401,2
8071,20180501,2
8071,20180520,2
8071,20180623,2
8071,20180624,2
8071,20180820,2
8072,20171224,2
8072,20171225,2
8072,20171226,2
8072,20180101,2
8072,20180224,2
8072,20180330,2
8072,20180401,2
8072,20180501,2
8072,20180520,2
8072,20180623,2
8072,20180624,2
8072,20180820,2
8073,20171224,2
8073,20171225,2
8073,20171226,2
8073,20180101,2
8073,20180224,2
8073,20180330,2
8073,20180401,2
8073,20180501,2
8073,20180520,2
8073,20180623,2
